OrderDate,Region,Item,Units,UnitCost,Total
1/6/2018,East,Pencil,95,1.99,189.05
1/23/2018,Central,Binder,50,19.99,999.5
2/9/2018,Central,Pencil,36,4.99,179.64
2/26/2018,Central,Pen,27,19.99,539.73
3/15/2018,West,Pencil,56,2.99,167.44
4/1/2018,East,Binder,60,4.99,299.4
4/18/2018,Central,Pencil,75,1.99,149.25
5/5/2018,Central,Pencil,90,4.99,449.1
5/22/2018,West,Pencil,32,1.99,63.68
6/8/2018,East,Binder,60,8.99,539.4
6/25/2018,Central,Pencil,90,4.99,449.1
7/12/2018,East,Binder,29,1.99,57.71
7/29/2018,East,Binder,81,19.99,"1,619.19"
8/15/2018,East,Pencil,35,4.99,174.65
9/1/2018,Central,Desk,2,125.00,250.00
9/18/2018,East,Pen Set,16,15.99,255.84
10/5/2018,Central,Binder,28,8.99,251.72
10/22/2018,East,Pen,64,8.99,575.36
11/8/2018,East,Pen,15,19.99,299.85
11/25/2018,Central,Pen Set,96,4.99,479.04
12/12/2018,Central,Pencil,67,1.29,86.43
12/29/2018,East,Pen Set,74,15.99,"1,183.26"
1/15/2019,Central,Binder,46,8.99,413.54
2/1/2019,Central,Binder,87,15.00,"1,305.00"
2/18/2019,East,Binder,4,4.99,19.96
3/7/2019,West,Binder,7,19.99,139.93
3/24/2019,Central,Pen Set,50,4.99,249.5
4/10/2019,Central,Pencil,66,1.99,131.34
4/27/2019,East,Pen,96,4.99,479.04
5/14/2019,Central,Pencil,53,1.29,68.37
5/31/2019,Central,Binder,80,8.99,719.2
6/17/2019,Central,Desk,5,125.00,625.00
7/4/2019,East,Pen Set,62,4.99,309.38
7/21/2019,Central,Pen Set,55,12.49,686.95
8/7/2019,Central,Pen Set,42,23.95,"1,005.90"
8/24/2019,West,Desk,3,275.00,825.00
9/10/2019,Central,Pencil,7,1.29,9.03
9/27/2019,West,Pen,76,1.99,151.24
10/14/2019,West,Binder,57,19.99,"1,139.43"
10/31/2019,Central,Pencil,14,1.29,18.06
11/17/2019,Central,Binder,11,4.99,54.89
12/4/2019,Central,Binder,94,19.99,"1,879.06"
12/21/2019,Central,Binder,28,4.99,139.72
